Title,rvwaut__infver,catxtcpt,rvwbd,rvwfoot__helpfulcount,rvwfoot__helpfulcount1,Image_URL
"Susan of New Port Richey, FL","
                    Verified Reviewer
                ","Original review: July 30, 2018",Both drivers were early and courteous. They were both efficient drivers and got us to our destination on time. The only objection was their route of travel. Since it was our first experience we did not know we could have told them there was a faster more direct route to our destination.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Tee of Houston, TX","
                    Verified Reviewer
                ","Original review: July 29, 2018",They don’t care about safety. I was a driver for Uber and they all time send me 6 or 7 people and my car only 4 people. When you tell the company this not good for the car and not safe they say cancel the trip. When you cancel the trip they get mad at the driver.,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Steve of Plantation, FL","
                    Verified Reviewer
                ","Original review: July 28, 2018",Used Uber when we were attending a wedding in CA and they were prompt and the driver was good. Driving on CA highways can be stressful but the driver knew where he was going.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Dennis of Douglaston, NY","
                    Verified Reviewer
                ","Original review: July 27, 2018","I ordered an Uber around 1130pm on July 20, 2018 for a 4.6 mile drive that would normally take 10 minutes. The regular car said it would cost almost $17 and the rideshare option was between $11-12. I opted for the cheaper option to save some money. The app told me the driver would arrive in 5 minutes, I waited in excess of that for the driver, fine. I get in the vehicle and settle in to look at my phone to see the fare jumped to $14.06. I agreed to one fare and Uber charged me over the agreed upon fare. Not to mention the driver drove so slow as if he was waiting for another pickup along route. I arrived to my destination much later than expected. He would stop at stop signs and wait half a minute before moving, it was past midnight at this point and there was nobody on the road. He also drove a route that was slightly longer than another. ","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Tara of Glendale, Wis","
                    Verified Reviewer
                ","Original review: July 27, 2018",The only problem I ever had was at Las Vegas airport at passenger pick up. I had to wait almost an hour and had to cancel twice before a driver actually showed they were going to airport. All other places were good.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Tina of St Louis, MO","
                    Verified Reviewer
                ","Original review: July 26, 2018","Was a little nervous to use but after I did, I found that I felt very safe each time, very polite drivers, clean cars and felt very comfortable. I was impressed.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Connie of Culver City, CA","
                    Verified Reviewer
                ","Original review: July 25, 2018","Contacted Uber via Phone app for services from address used on multiple occasions. Uber provided four locations for me to travel to be picked up for my ride! Aren't they supposed to pick me up from my location? I ran with arms full of packages to four different locations. The driver was most likely unfamiliar with area, thus the reason for the many changes. I couldn't keep up with the driver's request for different locations via foot. I finally sent a text to the driver for clarification.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Spencia of Durham, NC","
                    Verified Reviewer
                ","Original review: July 25, 2018","I've only used Uber once but I had a good experience. They arrived on time, took the shortest route and got me to my destination. He was very pleasant and friendly.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Joe of Odessa, FL","
                    Verified Reviewer
                ","Original review: July 25, 2018","The service is great! I trust my children riding with Uber. And the benefit to the community is not measurable, I’m confident the service has saved many accidents and damages to persons and property.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Michele of Baltimore, MD","
                    Verified Reviewer
                ","Original review: July 25, 2018","I like Uber for the most part. Their prices fluctuate (increase) frequently. There is no phone number or email to get in touch with Corporate. You get charged when the drivers go to the wrong place and say you aren't there. You get charged when you cancel but you don't get anything when drivers don't show and there is no way to make this known. For the most part it is ok but, these are things that have happened to me or family or people I know.","3 people found this review helpful
            
        ",3 people,Rated with 4 stars
"John of Tappahannock, VA","
                    Verified Reviewer
                ","Original review: July 25, 2018","Uber is easier to use than a taxi. Instead of trying to find a cab, I just ordered a Uber from my phone and the driver found me. The car was clean and the driver was courteous.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Barbara of West Columbia, SC","
                    Verified Reviewer
                ","Original review: July 25, 2018",I am very impressed with the overall concept of the Uber and the dependability of service. Drivers are personable but not overbearing; courteous and intuitive - every customer does not always want to interact or converse.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"donna of Cutler Bay, FL","
                    Verified Reviewer
                ","Original review: July 25, 2018","I have used Uber since they came to my area. The prices have skyrocketed since they first began service here. The last two times I used it, the driver was lost and driving around forever so the wait was extremely long. Besides the price hikes, I really like Uber.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Alnika of Hyattsville, MD","
                    Verified Reviewer
                ","Original review: July 24, 2018",Uber has really been difficult. I would like to use my account to order food but the number associated with my account is almost 5 years old. I haven't had that number in AT LEAST 3 years but they will not allow me to change it because according to support the only way to change it is through the app. So I download the app and enter my number but obviously that doesn't work cause it's not associated with my email. It is however associated with the driver account I attempted to make but there was no email associated with that account because the process was not finished.,"7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Rosa of New Castle, DE","
                    Verified Reviewer
                ","Original review: July 24, 2018","I send for an Uber service and they gave me a price. After arrival, I ended up paying $25.00 more. This is the first time it has happen. I will never ride Uber again. People should know the final amount before accepting the service.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Karen of Sedons, AZ","
                    Verified Reviewer
                ","Original review: July 24, 2018","The vehicles were all clean over our recent trip to Washington DC. The drivers were all kind and friendly... Overall, it was a much nicer experience than the cab rides.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Natalie of Palos Hills, IL","
                    Verified Reviewer
                ","Original review: July 24, 2018","Always quick to confirm a ride no matter the time of day of the location making it very convenient. Use them often to and from the airport, very dependable.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Shri of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: July 24, 2018","I have used several ride share companies and believe it’s the best idea for travel, whether short or long distances. The drivers were always on time for pickup and drop-off to all destinations, were always polite, informative, and cordial but most importantly, I always felt safe because they were registered with a business who does background checks, would provide photos of the car and driver, accepted all forms of payment, conveniently provide their app on smart phones, and rating scale for satisfaction.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Annette of Everett, WA","
                    Verified Reviewer
                ","Original review: July 24, 2018",I used Uber when I had no ride to my post op visit and couldn’t drive yet. It was a lifesaver! I got to my appointment in time and caught another driver back. It seemed a lot to spend $50 round trip but also a necessity when I couldn’t drive.,"2 people found this review helpful
            
        ",2 people,Rated with 5 stars
"Ramonita of Ny, NY","
                    Verified Reviewer
                ","Original review: July 24, 2018","Uber is not only an excellent service, it has been for me one of the most important service I can’t live without it, practical and all my experiences up to today very good, with very kind and respectful drivers.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Robert of Revere, MA","
                    Verified Reviewer
                ","Original review: July 24, 2018",Usually excellent. The one time I had a driver who went 2 hours out of the way (while I fell asleep) the charge was enormous. Uber credited me back within 2 days.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Tracy of Folsom, CA","
                    Verified Reviewer
                ","Original review: July 24, 2018","I usually have good experiences with Uber. Drivers are pleasant and cars are clean and on time. My only complaint is the extremely high rates at peak times. I had one trip where it was $60 to the event and $315 to return home. Obviously, I had to find another way to get home.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Ronald of Glendale, AZ","
                    Verified Reviewer
                ","Original review: July 23, 2018","An Uber account that was recently set up was hacked today with my credit card info being use to charge at least 3 trips in North Carolina, all with the same driver. Fortunately my credit card company's security is such that they caught it shortly after I did and canceled the card. It seems to be virtually impossible to cancel the Uber account. None of the so-called Uber support numbers function nor can one find out how to do it online.","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Karen of Albany, New Yor","
                    Verified Reviewer
                ","Original review: July 23, 2018",I used Uber for travel to and from airports. It is a great way to get to my planes or final destination that is often a good distance from the airports.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Vivian of Lafayette, LA","
                    Verified Reviewer
                ","Original review: July 23, 2018",I have only used this occasionally in a few cities and each time the experience was well worth it. The description of the car and the estimate of cost were both great. The cars were clean and modern and the driver was courteous.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Nicole of Portland, OR","
                    Verified Reviewer
                ","Original review: July 23, 2018","I've been using Uber for years to take trips home from the store. It's a really convenient app for me, especially because I don't have a car. The drivers are almost always nice. I think it's been so rare for me to have a bad experience with someone. Also, probably the one feature I have not been a fan of us is seeing my customer rating, gives me a bit of anxiety. Overall it's a good service. I've almost never had to wait more than 10 minutes too. The prices have gone up but I am thinking (and hoping) this is because they will pay drivers better.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Theda of West Palm Beach, FL","
                    Verified Reviewer
                ","Original review: July 23, 2018",The drivers were fine. The problem was I could not speak to a live person. It was very frustrating not to be able to talk to a person. On occasion it took me over 2 hrs to book a ride. Their system went haywire.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Anthony of S Hackensack, New Jersey","
                    Verified Reviewer
                ","Original review: July 23, 2018",It is a good service but the website or app has very little on questions from users. It is very difficult to see if the service is good or not through the website. You need to try it first and the service keeps on changing without notice. Which in some ways is great but no upfront info or call in to talk to.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"J.B. of Baltimore, MD","
                    Verified Reviewer
                ","Original review: July 23, 2018","Uber works. I have used it in several places around the world. It is usually cheap, convenient and hassle-free. However, surge pricing can get out of hand. Also, I'm not convinced that they treat their drivers fairly.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Earle of Rochester Hills, MI","
                    Verified Reviewer
                ","Original review: July 23, 2018",Car was dirty inside and the air conditioning did not work. The price was fine but I expected a much more desirable vehicle. I am glad there wasn’t some with me because the back seat was full of clothes and sports gear.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Tracey of Indian Trail, NC","
                    Verified Reviewer
                ","Original review: July 22, 2018","I was planning on taking an Uber to Midway airport on my recent trip to Chicago. I was planning on leaving at noon. I checked what it would cost me around 11:30. I was quoted $35. 20 min later when I got down to the lobby and ordered my Uber, the price jumped to $58! I switched to Lyft which was only minimally cheaper. Next time I will leave myself more time and take the train! Very disappointed because I really enjoyed taking Uber from the airport. Never again! Taxis are cheaper!","5 people found this review helpful
            
        ",5 people,Rated with 2 stars
"Myron of Brevard, NC","
                    Verified Reviewer
                ","Original review: July 22, 2018",I have used it regularly especially in Europe. Found it to be quick and efficient at a fair price. Have only had one issue where language was a major issue and we were put out a mile from our destination.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Russell of Jamestown, NC","
                    Verified Reviewer
                ","Original review: July 22, 2018","Not a regular user of Uber but the five times. Uber it was convenient, safe, and reasonable priced. Much less than a DUI and paying for airport parking.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Bob of Naples, FL","
                    Verified Reviewer
                ","Original review: July 22, 2018","I gave a tip to a driver and he was almost very thankful, told me it is rare to get a tip because Uber does not encourage it. Most everyone should be encourage to tip if the service is provided.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Antoinette of Los Angeles, California","
                    Verified Reviewer
                ","Original review: July 22, 2018",The first time they left me because I wasn't outside fast enough and when I did the app again that morning the price had gone up. Time was of the essence because I needed to get to the airport. I then took a shared ride. That's when I learned what that means and everyone wasn't going to the airport.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Anson of Jersey City, NJ","
                    Verified Reviewer
                ","Original review: July 21, 2018",The Uber app has the help option but only accommodates a number of preset problem configurations and absolutely nothing outside of it. I had an issue where I was grossly overcharged for a ride. Now there was construction in the area but the driver admitted that he was completely unfamiliar with the area and therefore his lack of knowledge was the more significant reason for my delay.,"5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Kathryn of Aransas Pass, Texas","
                    Verified Reviewer
                ","Original review: July 21, 2018","Ease of use is great, being able to not have money change hands and can tip online is a huge plus. The cars are clean and the drivers are respectful. Never have had to wait more than ten minutes.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Sandy of Collinsvillle, IL","
                    Verified Reviewer
                ","Original review: July 21, 2018",Needed to use it to go to a running store for a Packet Pickup... driver very courteous and good driver on the freeways and to find the place. It only took a couple minutes to get my packet and he agreed to stay and return me to my hotel where I got the pickup from. I was pleased with the service he provided and gave him a nice tip. There was no other potential way for me to get to the Packet Pickup unless I used a taxi and I'm positive that would have cost quite a bit more. Place was about 30 minutes away.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Amy of Arlington, VA","
                    Verified Reviewer
                ","Original review: July 21, 2018","Convenience, on-time performance, easy to hail a ride, competitive pricing with a regular taxicab. Helpful drivers too. App also makes it super easy to find a ride in minutes.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Cynthia of Edgewood, Texas","
                    Verified Reviewer
                ","Original review: July 21, 2018","I buy gift cards for my son and he uses them quite often. I have had problems a couple times, but it is usually on my end. But when I call for help, they are great. They handle it very quickly. He has only had problems with a couple drivers, but other than that both of us are very happy with the service.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Emily of The Dalles, Oregon","
                    Verified Reviewer
                ","Original review: July 21, 2018","Uber was a life saver when we needed it. The drivers were all wonderful courteous people but the company was not so great. There is no way to get help or even talk to someone from the company and the app was difficult to navigate. There were added fees like Uber technology fee that were not explained or mentioned that was just taken out of our account. There wasn’t even a way to ask about it and the drivers got none of the extra money!! Lastly, I kept getting strange texts for Uber codes after I began the process of trying to be a driver. I changed my mind when I found out someone was already trying to hack my account and rack up an unknown amount of charges on it. I will not use Uber again unless it is like the last time I had to do it an emergency with no other options.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Joe of Jersey City, NJ","
                    Verified Reviewer
                ","Original review: July 20, 2018","The first (and last) time I ever used Uber, the fare estimate was $61. When I logged on to book a car, I got a screen that looked like upgrade options, the lowest of which was $89. There was an option to ""Skip this Step"" so I did. I never got a screen telling me my total or asking me if I agreed to book it or not. Just that the car was on its way. The car that arrived was a huge SUV that could probably seat at least 8 people (I was alone and had one small piece of luggage and a backpack), and when I looked at the receipt later, I saw that they charged me $150 for this unnecessarily huge vehicle. When I wrote them about it they claimed I submitted a different destination location, which is entirely untrue. And they were so cold as to not even give me a break as a 1st time user, refunding at least some of that outrageous total. Terrible company in my experience.","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Jessica of Willowbrook, IL","
                    Verified Reviewer
                ","Original review: July 20, 2018",I requested a ride from Times Square to the Statue of Liberty. The rate was $26 and supposed to take 20 mins. There was a lot of traffic so I didn't think much of the long ride until I started to notice all the cars had New Jersey plates. We were in Hoboken because our driver had obviously taken a wrong turn somewhere. To make matters worse he spoke little English so he could not explain what was going on. At one point he turned onto an entrance ramp in error and tried backing up it. When that didn't work he turned around and drove the wrong way. When we finally got to the New Jersey side of the ferry I received the final fare from Uber at $77! When I filed a complaint they said I had input the wrong address so it's my fault we ended up in New Jersey and refused to refund me the fare. Numerous emails back and forth got me nowhere so I am left having to dispute the charge with my credit card. Stay away from this scam artist company.,"5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Kat of Makawao, Hawaii","
                    Verified Reviewer
                ","Original review: July 20, 2018",All the convenience of a taxi at half the price. They are there in minutes rather than the unknown taxi ETA. They are always friendly. The cars are usually clean and smell good. I don’t ever use taxis anymore. You can schedule a day and time to be picked up too. And that’s very nice.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Nancy of Phoenix, AZ","
                    Verified Reviewer
                ","Original review: July 20, 2018",I have only had one ride experience I wish not to repeat - I love the ease of getting a ride and the efficiency of the drivers. The costs are always reasonable as well. I will definitely use Uber in my future.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Sandra of Birmingham, AL","
                    Verified Reviewer
                ","Original review: July 20, 2018",Both of my Uber drivers were prompt. The conversation was great! They made my ride very pleasant and enjoyable. Also my car was down at the time and they were a big help!,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Christie of Glendale, Arizona","
                    Verified Reviewer
                ","Original review: July 20, 2018","They found me just fine. Only had one time where they couldn't find me, but someone else found me. And I got home just fine. And he waited until I got inside. He made me feel very comfortable.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Ella of Happy Valley, OR","
                    Verified Reviewer
                ","Original review: July 20, 2018","They play around with the prices a lot, both Uber and Lyft. You're using a App and it’s not really a “company“. That’s customer based oriented and you can just pick up the phone and deal with someone. You're a number and it’s not personal. The drivers bare all the cost, they pay for the car, the maintenance, the gas, their time and they are not a employee with benefits. Uber maintains the app but they charge the customer too much and keep too much from the driver. It’s up to 40-50% in Uber fees and cost for doing nothing.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Mario of Miami Beach, FL","
                    Verified Reviewer
                ","Original review: July 19, 2018","The driver ""cancelled"" and they charge me a cancellation free!! - I use the App for an Uber to pick me up from a gated community. The application directs me to a pickup intersection about 1/4 mile from my current location (on a very hot muggy night). I arrive there but me driver. After a 10 minute wait, I get a ""ride cancelled"" message from the App. At the time of the message notification, I see the driver on the App about a mile away at one of the entrances.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Jason of Brooklyn, NY","
                    Verified Reviewer
                ","Original review: July 19, 2018",The driver that picked me up was not the driver listed on the app which means there is no security. The driver had lended his car to another to use his Uber. I also brought home bedbugs from the filthy cab. Very dangerous for woman and older individuals...,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Linda of Wichita, KS","
                    Verified Reviewer
                ","Original review: July 19, 2018","The app and the information it provides are invaluable. I know how much my fare will be, who is picking me up, where they are and the actual route they are taking me. What’s not to love?","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Sheena of Odessa, Texas","
                    Verified Reviewer
                ","Original review: July 19, 2018",My main complaint would be the fact that each ride are different and prices at different times. Meaning I can go to Walmart today at 5 p.m. from home and it can cost for example $7 then I can go to the exact same Walmart from home on a different date and that ride will cost $13. Or I'll take a ride from home to Walmart and it cost $7 then when I go to get a ride from Walmart to home the ride will cost $13. No. I don't understand how the prices can fluctuate so much.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Why of Atlanta, Georgia","
                    Verified Reviewer
                ","Original review: July 19, 2018",They charge me $35:00 for an eight-mile trip. When the request was made it was eight dollars. When the driver showed the final figure it was seventeen. When I saw the final charges it was 35:00. Uber is horrible in my opinion.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Debbie of Jacksonville, Florida","
                    Verified Reviewer
                ","Original review: July 19, 2018","I thought that some of my trips were overpriced due to the fact that I was going such a short distance, but understand that this is how the driver gets paid! But the surge pricing was outrageous and would always wait a few extra minutes for it to lower as I wasn't about to pay sometimes 15.00 or more for a mile and a half ride!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Gregory of Fayetteville, NY","
                    Verified Reviewer
                ","Original review: July 19, 2018","We landed in Syracuse airport at 11:45 pm on a Sunday night. Used the Uber app, a car was shown on the map as on the way from the city. Then it disappeared. No Uber ride. Waited an hour and caught a regular cab. Customer service was non-existing as usual. Hey Uber! That’s no way to run a business! If you say you are a service to the public, then act the part.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 2 stars
"Victoria of Thunderbolt, GA","
                    Verified Reviewer
                ","Original review: July 18, 2018","In Las Vegas airport Uber pickup area... The Uber guy told me he was my ride but that was not true. He had another person he was picking up, when they arrived they were too big for us all to be in car. So he made me take my luggage from his trunk and call another Uber. He was Never my driver but I didn’t know that. (They all looked alike.) I wish I had his name.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Kathy of Escondido, CA","
                    Verified Reviewer
                ","Original review: July 18, 2018",I have had at least 2 drivers come on to me in a sexual manner. Another kept calling me at home to go out with him. Don't know how he got my number. Will never use Uber again. Only Lyft.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Dawn of Milwaukee, WI","
                    Verified Reviewer
                ","Original review: July 18, 2018",Every time I have used this service I have had a great experience. I have met wonderful drivers who are always friendly and polite. Rates are far better than taxis and much more convenient.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Sondra of Lakewood, CO","
                    Verified Reviewer
                ","Original review: July 18, 2018",We used Uber to and from the airport in Philadelphia in December. It was quick and convenient. But this is my only experience with them. I went with my boyfriend. I’m not sure if I’d feel as secure if I’d been alone. I don’t feel like they do a thorough background check on drivers. I’ve heard too many stories where the passenger is harassed or hurt.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Jerry of Irvine, California","
                    Verified Reviewer
                ","Original review: July 18, 2018",A very convenient service. The cab industry got out-maneuvered. They could have/should have started the same type of service using their cabbies. Uber is also relatively inexpensive to use.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Dawn of Tequesta, FL","
                    Verified Reviewer
                ","Original review: July 18, 2018","I get severe, sudden onset migraines. Sometimes I have to go to the emergency room and there is no one home to drive me there and home again. The Uber drivers have always been very polite, kind, and careful. I have never had any qualms about getting into the car.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Abhay of Pune, Other","
                    Verified Reviewer
                ","Original review: July 17, 2018","I travelled with Uber driver Girish on 15th July 2018 in Pune, from Karvenagar to Pune airport. After the trip was completed, the driver asked for amount Rs. 340, and he did not mention anything about charging from my linked credit card. I paid the entire amount of Rs 340 to the driver in cash. NOW UBER IS CHARGING ME SECOND TIME FOR THE SAME TRIP, HORRIBLE CHEATING which is illegal, unethical, immoral and totally unjustified! They have refused to even talk with the concerned driver, and are constantly harassing me to pay the double amount for absolutely no reason.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Michael of Bordentown, NJ","
                    Verified Reviewer
                ","Original review: July 17, 2018",I have had four very good Uber rides. The website is easy to use and a driver usually shows up pretty quickly. I had to wait once because there was no available drivers but the wait wasn't long. So far so good.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Ray of Tucson, AZ","
                    Verified Reviewer
                ","Original review: July 17, 2018","Uber is easy, less expensive and they don't stink. Always on time, never sultry or obnoxious. Taxis are obsolete and the only time I would take a taxi is if I could not find an Uber ride.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Belverly of Stanton, CA","
                    Verified Reviewer
                ","Original review: July 17, 2018","The service was great, the driver was appropriately friendly, cost was good too. The car was clean as well. I appreciated the service. I have recommended the service and would use again myself.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Dianne of Peoria, Arizona","
                    Verified Reviewer
                ","Original review: July 17, 2018","Uber is fast and easy! There is nothing like it and now we can't live without it! Uber will be here forever! Uber can take you to and from the airport, take you to and from the grocery store, to and from night spots, to and from sporting events, to and from funerals, to and from wedding receptions, to and from the baby showers, to and from Christmas parties, pool parties, New Year's Eve parties, office parties, On and on and on! We love Uber ask a mission point.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Jeanne of Bluffton, SC","
                    Verified Reviewer
                ","Original review: July 17, 2018",Am so grateful to have Uber. But wish they had a phone number. The drivers have been great. Cars have been clean and comfortable. I don't drive and will use Uber fairly often.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Anndee of Maxwelton, WV","
                    Verified Reviewer
                ","Original review: July 16, 2018","Overall my experience with Uber is wonderful with the exception of my 1st attempt, while I was trying to figure out the app, and got charged for a trip I cancelled within 3 MIN!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Pres of Taylors, SC","
                    Verified Reviewer
                ","Original review: July 16, 2018","Although it may be a perception it seems safer. Most of the drivers I have met seem like nice likable people. Cars are much cleaner, not like cabs in Chicago.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Shirley of Naples, Florida","
                    Verified Reviewer
                ","Original review: July 16, 2018",I have had very successfully rides with Uber. Very dependable and safe drivers. Downloaded app is very easy to use. Responsibly priced and would definitely use them again.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Denita of West Palm Beach, FL","
                    Verified Reviewer
                ","Original review: July 16, 2018","For the most part I find the drivers to be friendly, professional and careful. Also, they arrive promptly. However, occasionally a driver speaks about political views which is inappropriate conversation. I experienced this in London but the local drivers haven't discussed touchy topics.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Theresa of North Babylon, NY","
                    Verified Reviewer
                ","Original review: July 16, 2018",Awesome for going out with friends and no one wants to drive because we're drinking. Show you the driver's face and make of the car so you know exactly who's picking you up.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Marcellus of Cleveland, Ohio","
                    Verified Reviewer
                ","Original review: July 15, 2018","The driver was very knowledgeable about the area, great conversation. The car was clean and had a nice scent. He was on time, opened the door and even offered mints.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Denise of Portland, Oregon","
                    Verified Reviewer
                ","Original review: July 15, 2018",Used Uber on a family vacation in Boston and got great service from where we dropped off our rental car to the north end where having to drive is totally crazy. Driver really knew his way around. I use to live there so I knew he was not going off the beaten path.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Susan of Riverview, FL","
                    Verified Reviewer
                ","Original review: July 15, 2018",I took Uber to the airport but on the return trip the app wouldn’t work — I finally deleted it and added Lyft and took them home. I was really angry after arriving and exhausted.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Bev of Philadelphia, PA","
                    Verified Reviewer
                ","Original review: July 15, 2018","Had problems with Uber app. Driver was great, friendly, courteous and on time, he but had the wrong directions. I wonder if I was overcharged. Have no idea how much I was charged.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Celeste of Brooklyn, New York","
                    Verified Reviewer
                ","Original review: July 15, 2018","I like the service. In the app you can track the cab, the driver’s picture as well as the make/model of the car. Before you enter you’re given a short description about the driver. And at the end of the ride you have the option of rating the driver. Definitely would recommend Uber!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"C. of Columbia, NC","
                    Verified Reviewer
                ","Original review: July 15, 2018",I didn't order rideshare but I was charged. My bank refunded my money but I will never use Uber's rideshare app again. There isn't a live person to talk to only email.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Michael of Lilburn, GA","
                    Verified Reviewer
                ","Original review: July 14, 2018","Drove for Uber for some time and then one day I get a notification that my account is disabled. No explanation or reason to my knowledge. Don't waste your time and money working for these jokers. I sent them information providing all requirements for driving and they just shut down my account for no reason or explanation. They SUCK. Don't be used by Uber. It's not worth it. Time, mileage, wear and tear and tickets, nothing to show for it. A few dollars, not worth it. STAY AWAY FROM UBER.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Anya (Aña) of Chicago, IL","
                    Verified Reviewer
                ","Original review: July 14, 2018","I’ve used Uber in several cities New York, Chicago, Orlando, Miami, Boston, Las Vegas. I feel safer when I can see a picture and car description in a society where it is so unsafe for women traveling alone. In Vegas it was the cheapest way to get to and from the airport. Boston didn’t allow airport pickup but I got one to return to airport, a savings of $20. If the cabs want to compete they need to adjust their rates and make us feel safer.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
